200,1000800
300,1000900
500,1000600
800,988400
1000,2000800
2000,999600
3000,1000100
4000,2000600
5000,3316100
6000,4079400
7000,5001500
8000,6000900
9000,9001600
10000,8001300
11000,11002400
12000,13012900
13000,13004400
14000,18003000
15000,19004300
16000,24239100
17000,27006600
18000,27005700
19000,31440300
20000,33854900
500,999400
800,3001000
2000,2133600
3000,1000700
4000,2000400
5000,2000400
6000,5001700
7000,7001800
8000,8001900
9000,7001600
10000,7926200
11000,11002300
12000,15042300
13000,16004000
14000,22004900
15000,23005100
16000,36008300
17000,27007500
18000,30005400
19000,30006800
20000,35931900
