10,5494300
800,1001100
2000,553000
3000,999600
5000,1000200
6000,991200
8000,1000400
9000,999800
10000,1578300
11000,1000900
12000,1000300
13000,1000600
14000,1000700
15000,999900
16000,3000000
17000,1000700
18000,1000200
19000,1001500
10,7001600
300,1000200
2000,1000200
4000,998200
5000,1000500
6000,1000600
7000,521100
9000,1000200
10000,991700
11000,2001900
12000,1001500
13000,999600
14000,1000100
15000,1561100
16000,4001200
17000,1000900
20000,1000300
10,1000000
300,390600
500,1000500
3000,999600
6000,999700
7000,999500
8000,1000200
9000,2000800
10000,1000000
11000,2000700
12000,999900
13000,1001000
14000,4000300
15000,1000200
17000,1000000
18000,999400
1000,1000200
2000,1000200
3000,1000100
5000,1000700
9000,1000100
10000,1433300
11000,2000600
12000,1000400
13000,1001400
14000,5001200
15000,999500
17000,1000200
19000,1000100
20000,1001100
